distance,from,to,n
1,C,C,253
1,C,CG,15
1,C,CGO,3
1,C,CO,2
1,C,G,340
1,C,GO,6
1,C,H,268
1,C,HC,102
1,C,HCG,280
1,C,HCGO,1609
1,C,HCO,3
1,C,HG,14
1,C,HGO,8
1,C,O,650
1,CG,C,15
1,CG,CG,12
1,CG,G,13
1,CG,H,19
1,CG,HCG,5
1,CG,HCGO,63
1,CG,O,27
1,CGO,C,5
1,CGO,CGO,1
1,CGO,G,6
1,CGO,H,4
1,CGO,HC,4
1,CGO,HCG,6
1,CGO,HCGO,21
1,CGO,O,10
1,CO,C,3
1,CO,G,2
1,CO,H,4
1,CO,HCGO,12
1,CO,HG,1
1,CO,O,5
1,G,C,332
1,G,CG,13
1,G,CGO,5
1,G,CO,2
1,G,G,551
1,G,GO,6
1,G,H,339
1,G,HC,209
1,G,HCG,457
1,G,HCGO,2257
1,G,HCO,7
1,G,HG,15
1,G,HGO,7
1,G,HO,5
1,G,O,967
1,GO,C,3
1,GO,G,10
1,GO,H,2
1,GO,HC,6
1,GO,HCG,7
1,GO,HCGO,22
1,GO,HCO,1
1,GO,O,13
1,H,C,284
1,H,CG,15
1,H,CGO,5
1,H,CO,1
1,H,G,333
1,H,GO,4
1,H,H,242
1,H,HC,122
1,H,HCG,328
1,H,HCGO,1596
1,H,HCO,6
1,H,HG,7
1,H,HGO,4
1,H,HO,2
1,H,O,651
1,HC,C,116
1,HC,CG,1
1,HC,CGO,1
1,HC,G,204
1,HC,GO,4
1,HC,H,105
1,HC,HC,105
1,HC,HCG,131
1,HC,HCGO,757
1,HC,HCO,4
1,HC,O,338
1,HCG,C,320
1,HCG,CG,9
1,HCG,CGO,4
1,HCG,CO,2
1,HCG,G,440
1,HCG,GO,5
1,HCG,H,319
1,HCG,HC,146
1,HCG,HCG,482
1,HCG,HCGO,1986
1,HCG,HCO,4
1,HCG,HG,8
1,HCG,HGO,4
1,HCG,O,949
1,HCGO,C,1556
1,HCGO,CG,61
1,HCGO,CGO,22
1,HCGO,CO,10
1,HCGO,G,2271
1,HCGO,GO,29
1,HCGO,H,1586
1,HCGO,HC,760
1,HCGO,HCG,2062
1,HCGO,HCGO,10143
1,HCGO,HCO,37
1,HCGO,HG,62
1,HCGO,HGO,20
1,HCGO,HO,10
1,HCGO,O,4331
1,HCO,C,6
1,HCO,CG,1
1,HCO,G,12
1,HCO,H,5
1,HCO,HC,4
1,HCO,HCG,3
1,HCO,HCGO,31
1,HCO,HCO,1
1,HCO,O,19
1,HG,C,12
1,HG,G,14
1,HG,H,10
1,HG,HC,1
1,HG,HCG,12
1,HG,HCGO,61
1,HG,HG,6
1,HG,O,26
1,HGO,C,1
1,HGO,G,6
1,HGO,H,6
1,HGO,HCG,3
1,HGO,HCGO,11
1,HGO,HG,1
1,HGO,O,16
1,HO,G,2
1,HO,H,2
1,HO,HC,1
1,HO,HCG,1
1,HO,HCGO,13
1,HO,O,6
1,O,C,693
1,O,CG,27
1,O,CGO,10
1,O,CO,9
1,O,G,955
1,O,GO,11
1,O,H,689
1,O,HC,363
1,O,HCG,934
1,O,HCGO,4364
1,O,HCO,12
1,O,HG,28
1,O,HGO,9
1,O,HO,4
1,O,O,1955
100000,C,C,229
100000,C,CG,10
100000,C,CGO,3
100000,C,G,353
100000,C,GO,2
100000,C,H,231
100000,C,HC,97
100000,C,HCG,317
100000,C,HCGO,1572
100000,C,HCO,4
100000,C,HG,11
100000,C,HGO,4
100000,C,HO,3
100000,C,O,684
100000,CG,C,6
