distance,from,to,n
1,C,C,337
1,C,CG,17
1,C,CGO,2
1,C,CO,4
1,C,G,392
1,C,GO,7
1,C,H,318
1,C,HC,70
1,C,HCG,320
1,C,HCGO,1718
1,C,HCO,7
1,C,HG,31
1,C,HGO,7
1,C,O,781
1,CG,C,15
1,CG,CG,12
1,CG,CGO,1
1,CG,G,18
1,CG,H,30
1,CG,HC,2
1,CG,HCG,8
1,CG,HCGO,88
1,CG,HGO,1
1,CG,O,35
1,CGO,C,2
1,CGO,CG,1
1,CGO,G,9
1,CGO,H,6
1,CGO,HC,1
1,CGO,HCG,6
1,CGO,HCGO,33
1,CGO,O,14
1,CO,C,1
1,CO,H,4
1,CO,HCG,1
1,CO,HCGO,14
1,CO,HG,2
1,CO,O,8
1,G,C,374
1,G,CG,26
1,G,CGO,2
1,G,CO,3
1,G,G,461
1,G,GO,10
1,G,H,403
1,G,HC,158
1,G,HCG,436
1,G,HCGO,2165
1,G,HCO,10
1,G,HG,21
1,G,HGO,4
1,G,HO,1
1,G,O,974
1,GO,C,6
1,GO,G,11
1,GO,GO,1
1,GO,H,1
1,GO,HC,4
1,GO,HCG,2
1,GO,HCGO,21
1,GO,O,8
1,H,C,295
1,H,CG,33
1,H,CGO,2
1,H,CO,5
1,H,G,395
1,H,GO,3
1,H,H,339
1,H,HC,71
1,H,HCG,349
1,H,HCGO,1797
1,H,HCO,7
1,H,HG,16
1,H,HGO,3
1,H,O,781
1,HC,C,94
1,HC,CO,1
1,HC,G,144
1,HC,GO,2
1,HC,H,66
1,HC,HC,59
1,HC,HCG,97
1,HC,HCGO,563
1,HC,HCO,4
1,HC,HGO,1
1,HC,O,234
1,HCG,C,342
1,HCG,CG,21
1,HCG,CGO,4
1,HCG,G,448
1,HCG,GO,4
1,HCG,H,362
1,HCG,HC,96
1,HCG,HCG,498
1,HCG,HCGO,1997
1,HCG,HCO,7
1,HCG,HG,15
1,HCG,HGO,5
1,HCG,HO,3
1,HCG,O,933
1,HCGO,C,1765
1,HCGO,CG,103
1,HCGO,CGO,22
1,HCGO,CO,10
1,HCGO,G,2231
1,HCGO,GO,12
1,HCGO,H,1804
1,HCGO,HC,522
1,HCGO,HCG,1944
1,HCGO,HCGO,10052
1,HCGO,HCO,32
1,HCGO,HG,93
1,HCGO,HGO,28
1,HCGO,HO,18
1,HCGO,O,4203
1,HCO,C,3
1,HCO,G,9
1,HCO,H,3
1,HCO,HC,1
1,HCO,HCG,10
1,HCO,HCGO,26
1,HCO,HO,1
1,HCO,O,12
1,HG,C,24
1,HG,CO,2
1,HG,G,24
1,HG,H,16
1,HG,HCG,14
1,HG,HCGO,95
1,HG,HCO,2
1,HG,HG,11
1,HG,O,37
1,HGO,C,6
1,HGO,G,2
1,HGO,H,1
1,HGO,HC,2
1,HGO,HCG,2
1,HGO,HCGO,22
1,HGO,HG,1
1,HGO,O,15
1,HO,C,2
1,HO,G,1
1,HO,H,1
1,HO,HCG,4
1,HO,HCGO,10
1,HO,HO,1
1,HO,O,4
1,O,C,712
