distance,from,to,n
1,C,C,348
1,C,CG,19
1,C,CGO,4
1,C,CO,2
1,C,G,376
1,C,GO,6
1,C,H,328
1,C,HC,79
1,C,HCG,341
1,C,HCGO,1764
1,C,HCO,5
1,C,HG,26
1,C,HGO,1
1,C,HO,2
1,C,O,789
1,CG,C,29
1,CG,CG,6
1,CG,CGO,1
1,CG,CO,1
1,CG,G,19
1,CG,H,19
1,CG,HCG,11
1,CG,HCGO,110
1,CG,HO,1
1,CG,O,48
1,CGO,C,4
1,CGO,G,4
1,CGO,H,5
1,CGO,HC,1
1,CGO,HCG,4
1,CGO,HCGO,20
1,CGO,O,11
1,CO,C,2
1,CO,G,4
1,CO,H,3
1,CO,HCGO,17
1,CO,O,10
1,G,C,397
1,G,CG,13
1,G,CGO,7
1,G,CO,6
1,G,G,499
1,G,GO,3
1,G,H,400
1,G,HC,164
1,G,HCG,453
1,G,HCGO,2257
1,G,HCO,7
1,G,HG,18
1,G,HGO,2
1,G,O,1011
1,GO,CG,1
1,GO,G,4
1,GO,GO,1
1,GO,H,2
1,GO,HC,5
1,GO,HCG,3
1,GO,HCGO,30
1,GO,O,9
1,H,C,346
1,H,CG,28
1,H,CGO,5
1,H,CO,1
1,H,G,377
1,H,GO,3
1,H,H,328
1,H,HC,91
1,H,HCG,352
1,H,HCGO,1797
1,H,HCO,5
1,H,HG,25
1,H,HGO,7
1,H,HO,3
1,H,O,752
1,HC,C,85
1,HC,CG,1
1,HC,G,150
1,HC,GO,2
1,HC,H,78
1,HC,HC,66
1,HC,HCG,98
1,HC,HCGO,545
1,HC,HCO,4
1,HC,HG,2
1,HC,HGO,2
1,HC,HO,2
1,HC,O,235
1,HCG,C,362
1,HCG,CG,21
1,HCG,CGO,2
1,HCG,CO,3
1,HCG,G,423
1,HCG,GO,3
1,HCG,H,372
1,HCG,HC,85
1,HCG,HCG,529
1,HCG,HCGO,2068
1,HCG,HCO,5
1,HCG,HG,13
1,HCG,HGO,5
1,HCG,HO,4
1,HCG,O,947
1,HCGO,C,1731
1,HCGO,CG,84
1,HCGO,CGO,25
1,HCGO,CO,12
1,HCGO,G,2239
1,HCGO,GO,21
1,HCGO,H,1798
1,HCGO,HC,506
1,HCGO,HCG,2019
1,HCGO,HCGO,10202
1,HCGO,HCO,26
1,HCGO,HG,88
1,HCGO,HGO,19
1,HCGO,HO,14
1,HCGO,O,4348
1,HCO,C,5
1,HCO,G,10
1,HCO,H,4
1,HCO,HC,4
1,HCO,HCG,3
1,HCO,HCGO,41
1,HCO,O,20
1,HG,C,34
1,HG,CO,1
1,HG,G,20
1,HG,H,13
1,HG,HC,1
1,HG,HCG,14
1,HG,HCGO,97
1,HG,HG,11
1,HG,HGO,1
1,HG,O,41
1,HGO,C,7
1,HGO,CG,1
1,HGO,G,6
1,HGO,H,1
1,HGO,HCG,5
1,HGO,HCGO,30
1,HGO,O,10
1,HO,C,2
1,HO,CG,2
1,HO,G,1
1,HO,H,2
1,HO,HC,1
1,HO,HCG,1
1,HO,HCGO,11
1,HO,O,5
1,O,C,745
1,O,CG,57
1,O,CGO,14
1,O,CO,5
1,O,G,1027
1,O,GO,9
1,O,H,822
1,O,HC,241
1,O,HCG,919
1,O,HCGO,4294
1,O,HCO,17
1,O,HG,48
1,O,HGO,10
1,O,HO,2
1,O,O,1973
100000,C,C,294
100000,C,CG,23
100000,C,CGO,1
100000,C,CO,1
100000,C,G,380
100000,C,GO,5
100000,C,H,319
100000,C,HC,100
100000,C,HCG,370
100000,C,HCGO,1767
