distance,from,to,n
1,C,C,315
1,C,CG,8
1,C,CGO,3
1,C,CO,5
1,C,G,375
1,C,GO,3
1,C,H,307
1,C,HC,98
1,C,HCG,357
1,C,HCGO,1620
1,C,HCO,10
1,C,HG,27
1,C,HGO,5
1,C,HO,5
1,C,O,784
1,CG,C,15
1,CG,CG,3
1,CG,G,20
1,CG,GO,1
1,CG,H,26
1,CG,HC,1
1,CG,HCG,11
1,CG,HCGO,76
1,CG,HO,1
1,CG,O,35
1,CGO,C,3
1,CGO,G,3
1,CGO,H,3
1,CGO,HCG,3
1,CGO,HCGO,19
1,CGO,O,7
1,CO,C,4
1,CO,CGO,1
1,CO,CO,1
1,CO,G,4
1,CO,GO,1
1,CO,H,2
1,CO,HC,1
1,CO,HCG,1
1,CO,HCGO,8
1,CO,O,5
1,G,C,390
1,G,CG,18
1,G,CGO,4
1,G,CO,7
1,G,G,524
1,G,GO,7
1,G,H,366
1,G,HC,183
1,G,HCG,432
1,G,HCGO,2320
1,G,HCO,8
1,G,HG,13
1,G,HGO,5
1,G,HO,3
1,G,O,1008
1,GO,C,6
1,GO,G,8
1,GO,H,1
1,GO,HC,2
1,GO,HCG,4
1,GO,HCGO,20
1,GO,O,5
1,H,C,293
1,H,CG,19
1,H,CGO,5
1,H,CO,2
1,H,G,388
1,H,GO,7
1,H,H,338
1,H,HC,88
1,H,HCG,352
1,H,HCGO,1694
1,H,HCO,5
1,H,HG,15
1,H,HGO,6
1,H,HO,1
1,H,O,764
1,HC,C,99
1,HC,CGO,4
1,HC,G,163
1,HC,GO,4
1,HC,H,80
1,HC,HC,89
1,HC,HCG,106
1,HC,HCGO,564
1,HC,HCO,1
1,HC,O,262
1,HCG,C,367
1,HCG,CG,17
1,HCG,CGO,2
1,HCG,CO,1
1,HCG,G,399
1,HCG,GO,3
1,HCG,H,349
1,HCG,HC,103
1,HCG,HCG,476
1,HCG,HCGO,1958
1,HCG,HCO,3
1,HCG,HG,12
1,HCG,HGO,3
1,HCG,HO,1
1,HCG,O,952
1,HCGO,C,1734
1,HCGO,CG,83
1,HCGO,CGO,19
1,HCGO,CO,13
1,HCGO,G,2289
1,HCGO,GO,13
1,HCGO,H,1644
1,HCGO,HC,618
1,HCGO,HCG,2038
1,HCGO,HCGO,10111
1,HCGO,HCO,35
1,HCGO,HG,82
1,HCGO,HGO,21
1,HCGO,HO,8
1,HCGO,O,4340
1,HCO,C,8
1,HCO,G,6
1,HCO,H,2
1,HCO,HC,5
1,HCO,HCG,3
1,HCO,HCGO,37
1,HCO,HCO,4
1,HCO,O,15
1,HG,C,21
1,HG,CG,1
1,HG,G,22
1,HG,H,16
1,HG,HCG,17
1,HG,HCGO,102
1,HG,HG,4
1,HG,O,37
1,HGO,C,3
1,HGO,CGO,1
1,HGO,G,6
1,HGO,H,6
1,HGO,HC,1
1,HGO,HCG,2
1,HGO,HCGO,21
1,HGO,HG,1
1,HGO,HGO,1
1,HGO,O,11
1,HO,G,2
1,HO,H,3
1,HO,HCG,3
1,HO,HCGO,5
1,HO,HGO,1
1,HO,O,1
1,O,C,742
1,O,CG,36
