distance,from,to,n
1,C,C,281
1,C,CG,11
1,C,CGO,2
1,C,CO,2
1,C,G,318
1,C,GO,4
1,C,H,269
1,C,HC,96
1,C,HCG,300
1,C,HCGO,1512
1,C,HCO,6
1,C,HG,18
1,C,HGO,2
1,C,HO,1
1,C,O,685
1,CG,C,17
1,CG,CG,5
1,CG,CGO,1
1,CG,G,19
1,CG,H,17
1,CG,HC,1
1,CG,HCG,10
1,CG,HCGO,59
1,CG,O,33
1,CGO,C,6
1,CGO,G,3
1,CGO,H,3
1,CGO,HC,2
1,CGO,HCG,3
1,CGO,HCGO,22
1,CGO,O,7
1,CO,C,2
1,CO,G,3
1,CO,HCGO,10
1,CO,O,3
1,G,C,347
1,G,CG,12
1,G,CGO,5
1,G,CO,1
1,G,G,512
1,G,GO,7
1,G,H,336
1,G,HC,196
1,G,HCG,413
1,G,HCGO,2240
1,G,HCO,9
1,G,HG,11
1,G,HGO,4
1,G,HO,2
1,G,O,1017
1,GO,C,4
1,GO,CGO,1
1,GO,G,4
1,GO,H,7
1,GO,HC,4
1,GO,HCG,7
1,GO,HCGO,17
1,GO,O,14
1,H,C,222
1,H,CG,24
1,H,CGO,3
1,H,CO,2
1,H,G,330
1,H,GO,6
1,H,H,292
1,H,HC,99
1,H,HCG,310
1,H,HCGO,1601
1,H,HCO,2
1,H,HG,10
1,H,HGO,4
1,H,HO,1
1,H,O,651
1,HC,C,88
1,HC,CG,2
1,HC,G,205
1,HC,GO,3
1,HC,H,111
1,HC,HC,97
1,HC,HCG,129
1,HC,HCGO,779
1,HC,HCO,4
1,HC,HG,1
1,HC,HGO,2
1,HC,O,273
1,HCG,C,317
1,HCG,CG,10
1,HCG,CGO,5
1,HCG,CO,3
1,HCG,G,404
1,HCG,GO,2
1,HCG,H,321
1,HCG,HC,119
1,HCG,HCG,483
1,HCG,HCGO,2047
1,HCG,HCO,2
1,HCG,HG,16
1,HCG,HGO,5
1,HCG,HO,1
1,HCG,O,935
1,HCGO,C,1474
1,HCGO,CG,60
1,HCGO,CGO,17
1,HCGO,CO,10
1,HCGO,G,2295
1,HCGO,GO,27
1,HCGO,H,1586
1,HCGO,HC,740
1,HCGO,HCG,2045
1,HCGO,HCGO,10138
1,HCGO,HCO,33
1,HCGO,HG,70
1,HCGO,HGO,21
1,HCGO,HO,8
1,HCGO,O,4454
1,HCO,C,4
1,HCO,CGO,1
1,HCO,G,6
1,HCO,GO,1
1,HCO,H,4
1,HCO,HC,5
1,HCO,HCG,5
1,HCO,HCGO,29
1,HCO,HCO,2
1,HCO,O,21
1,HG,C,18
1,HG,G,12
1,HG,H,11
1,HG,HC,2
1,HG,HCG,9
1,HG,HCGO,55
1,HG,HG,9
1,HG,O,31
1,HGO,C,3
1,HGO,CO,1
1,HGO,G,4
1,HGO,H,3
1,HGO,HC,3
1,HGO,HCG,4
1,HGO,HCGO,14
1,HGO,HGO,1
1,HGO,HO,1
1,HGO,O,7
1,HO,C,1
1,HO,G,3
1,HO,H,1
1,HO,HC,1
1,HO,HCGO,7
1,HO,O,5
1,O,C,698
1,O,CG,35
1,O,CGO,8
1,O,CO,2
1,O,G,1007
1,O,GO,11
1,O,H,675
1,O,HC,335
1,O,HCG,917
1,O,HCGO,4405
1,O,HCO,14
1,O,HG,33
1,O,HGO,7
1,O,HO,2
1,O,O,1854
100000,C,C,248
100000,C,CG,7
100000,C,CGO,2
100000,C,CO,2
100000,C,G,334
100000,C,GO,5
100000,C,H,217
100000,C,HC,129
100000,C,HCG,284
100000,C,HCGO,1574
100000,C,HCO,3
100000,C,HG,10
100000,C,HGO,6
100000,C,HO,2
100000,C,O,692
100000,CG,C,9
100000,CG,CGO,1
100000,CG,G,19
100000,CG,H,13
100000,CG,HC,9
100000,CG,HCG,10
100000,CG,HCGO,66
100000,CG,O,23
100000,CGO,C,3
100000,CGO,CG,1
100000,CGO,G,4
100000,CGO,H,4
100000,CGO,HC,2
100000,CGO,HCG,1
100000,CGO,HCGO,22
100000,CGO,HG,1
100000,CGO,O,10
100000,CO,C,2
100000,CO,G,3
100000,CO,H,1
100000,CO,HC,1
100000,CO,HCG,2
100000,CO,HCGO,12
100000,CO,O,3
100000,G,C,333
100000,G,CG,15
100000,G,CGO,3
100000,G,CO,2
100000,G,G,497
100000,G,GO,4
100000,G,H,362
100000,G,HC,177
100000,G,HCG,449
100000,G,HCGO,2155
100000,G,HCO,9
100000,G,HG,12
100000,G,HGO,11
100000,G,HO,5
100000,G,O,978
100000,GO,C,8
100000,GO,G,3
100000,GO,HC,3
100000,GO,HCG,5
100000,GO,HCGO,32
100000,GO,O,13
100000,H,C,248
100000,H,CG,19
100000,H,CGO,1
100000,H,CO,2
100000,H,G,392
100000,H,GO,3
100000,H,H,226
100000,H,HC,130
100000,H,HCG,317
100000,H,HCGO,1519
100000,H,HCO,5
100000,H,HG,4
100000,H,HGO,2
100000,H,HO,1
100000,H,O,646
100000,HC,C,115
100000,HC,CG,7
100000,HC,CGO,3
100000,HC,G,180
100000,HC,GO,1
100000,HC,H,102
100000,HC,HC,58
100000,HC,HCG,144
100000,HC,HCGO,817
100000,HC,HCO,5
100000,HC,HG,7
100000,HC,HGO,1
100000,HC,HO,2
100000,HC,O,321
100000,HCG,C,304
100000,HCG,CG,13
100000,HCG,CGO,3
100000,HCG,CO,4
100000,HCG,G,475
100000,HCG,GO,5
100000,HCG,H,319
100000,HCG,HC,143
100000,HCG,HCG,430
100000,HCG,HCGO,1956
100000,HCG,HCO,4
100000,HCG,HG,14
100000,HCG,HGO,6
100000,HCG,HO,1
100000,HCG,O,877
100000,HCGO,C,1471
100000,HCGO,CG,68
100000,HCGO,CGO,20
100000,HCGO,CO,10
100000,HCGO,G,2180
100000,HCGO,GO,25
100000,HCGO,H,1547
100000,HCGO,HC,751
100000,HCGO,HCG,2060
100000,HCGO,HCGO,9777
100000,HCGO,HCO,22
100000,HCGO,HG,48
100000,HCGO,HGO,14
100000,HCGO,HO,10
100000,HCGO,O,4338
100000,HCO,C,4
100000,HCO,G,5
100000,HCO,H,6
100000,HCO,HC,2
100000,HCO,HCG,8
100000,HCO,HCGO,27
100000,HCO,HG,1
100000,HCO,O,8
100000,HG,C,12
100000,HG,G,16
100000,HG,H,10
100000,HG,HC,5
100000,HG,HCG,16
100000,HG,HCGO,55
100000,HG,O,24
100000,HGO,C,2
100000,HGO,CGO,1
100000,HGO,G,3
100000,HGO,H,2
100000,HGO,HC,1
100000,HGO,HCG,2
100000,HGO,HCGO,16
100000,HGO,HGO,1
100000,HGO,O,4
100000,HO,C,1
100000,HO,H,3
100000,HO,HCG,1
100000,HO,HCGO,11
100000,HO,O,1
100000,O,C,658
100000,O,CG,34
100000,O,CGO,12
100000,O,CO,2
100000,O,G,1012
100000,O,GO,8
100000,O,H,660
100000,O,HC,338
100000,O,HCG,888
100000,O,HCGO,4342
100000,O,HCO,14
100000,O,HG,34
100000,O,HGO,10
100000,O,HO,4
100000,O,O,1862
11,C,C,264
11,C,CG,17
11,C,CGO,5
11,C,CO,3
11,C,G,324
11,C,GO,3
11,C,H,270
11,C,HC,97
11,C,HCG,313
11,C,HCGO,1490
11,C,HCO,6
11,C,HG,17
11,C,HGO,4
11,C,HO,1
11,C,O,680
11,CG,C,14
11,CG,CG,9
11,CG,G,16
11,CG,H,19
11,CG,HC,1
11,CG,HCG,11
11,CG,HCGO,68
11,CG,HGO,1
11,CG,HO,1
11,CG,O,25
11,CGO,C,4
11,CGO,G,6
11,CGO,H,4
11,CGO,HCG,4
11,CGO,HCGO,12
11,CGO,O,6
11,CO,C,2
11,CO,CGO,1
11,CO,G,2
11,CO,H,2
11,CO,HCG,1
11,CO,HCGO,11
11,CO,O,5
11,G,C,348
11,G,CG,19
11,G,CGO,1
11,G,CO,4
11,G,G,553
11,G,GO,7
11,G,H,366
11,G,HC,204
11,G,HCG,433
11,G,HCGO,2340
11,G,HCO,6
11,G,HG,14
11,G,HGO,2
11,G,O,959
11,GO,C,1
11,GO,G,6
11,GO,H,5
11,GO,HC,3
11,GO,HCG,3
11,GO,HCGO,36
11,GO,O,12
11,H,C,247
11,H,CG,21
11,H,CO,1
11,H,G,361
11,H,GO,5
11,H,H,242
11,H,HC,92
11,H,HCG,309
11,H,HCGO,1561
11,H,HCO,4
11,H,HG,11
11,H,HGO,3
11,H,HO,5
11,H,O,705
11,HC,C,109
11,HC,CGO,1
11,HC,G,186
11,HC,GO,5
11,HC,H,108
11,HC,HC,102
11,HC,HCG,140
11,HC,HCGO,714
11,HC,HCO,5
11,HC,HGO,1
11,HC,O,347
11,HCG,C,281
11,HCG,CG,8
11,HCG,CGO,1
11,HCG,CO,3
11,HCG,G,397
11,HCG,GO,4
11,HCG,H,306
11,HCG,HC,133
11,HCG,HCG,500
11,HCG,HCGO,2018
11,HCG,HCO,5
11,HCG,HG,12
11,HCG,HGO,2
11,HCG,HO,5
11,HCG,O,925
11,HCGO,C,1548
11,HCGO,CG,60
11,HCGO,CGO,24
11,HCGO,CO,6
11,HCGO,G,2254
11,HCGO,GO,22
11,HCGO,H,1597
11,HCGO,HC,766
11,HCGO,HCG,2064
11,HCGO,HCGO,10215
11,HCGO,HCO,33
11,HCGO,HG,84
11,HCGO,HGO,15
11,HCGO,HO,10
11,HCGO,O,4292
11,HCO,C,4
