distance,from,to,n
1,C,C,327
1,C,CG,13
1,C,CGO,8
1,C,CO,1
1,C,G,390
1,C,GO,7
1,C,H,358
1,C,HC,73
1,C,HCG,338
1,C,HCGO,1777
1,C,HCO,4
1,C,HG,32
1,C,HGO,3
1,C,HO,1
1,C,O,819
1,CG,C,18
1,CG,CG,10
1,CG,CO,1
1,CG,G,18
1,CG,H,33
1,CG,HCG,13
1,CG,HCGO,117
1,CG,O,39
1,CGO,C,5
1,CGO,CG,1
1,CGO,H,3
1,CGO,HCG,2
1,CGO,HCGO,22
1,CGO,O,13
1,CO,C,1
1,CO,G,4
1,CO,H,3
1,CO,HC,2
1,CO,HCG,3
1,CO,HCGO,7
1,CO,O,5
1,G,C,385
1,G,CG,16
1,G,CGO,1
1,G,CO,2
1,G,G,479
1,G,GO,5
1,G,H,416
1,G,HC,157
1,G,HCG,427
1,G,HCGO,2267
1,G,HCO,9
1,G,HG,28
1,G,HGO,4
1,G,HO,2
1,G,O,1012
1,GO,C,2
1,GO,CO,1
1,GO,G,9
1,GO,H,4
1,GO,HC,2
1,GO,HCG,3
1,GO,HCGO,24
1,GO,HCO,1
1,GO,HG,1
1,GO,O,10
1,H,C,315
1,H,CG,24
1,H,CGO,7
1,H,CO,2
1,H,G,375
1,H,GO,2
1,H,H,356
1,H,HC,83
1,H,HCG,369
1,H,HCGO,1745
1,H,HCO,6
1,H,HG,18
1,H,HGO,4
1,H,HO,3
1,H,O,805
1,HC,C,88
1,HC,CGO,1
1,HC,G,143
1,HC,GO,3
1,HC,H,89
1,HC,HC,57
1,HC,HCG,105
1,HC,HCGO,553
1,HC,HCO,4
1,HC,HG,1
1,HC,HGO,1
1,HC,HO,2
1,HC,O,247
1,HCG,C,346
1,HCG,CG,8
1,HCG,CGO,6
1,HCG,CO,3
1,HCG,G,465
1,HCG,GO,4
1,HCG,H,347
1,HCG,HC,87
1,HCG,HCG,488
1,HCG,HCGO,1927
1,HCG,HCO,4
1,HCG,HG,12
1,HCG,HGO,6
1,HCG,HO,1
1,HCG,O,920
1,HCGO,C,1748
1,HCGO,CG,96
1,HCGO,CGO,25
1,HCGO,CO,8
1,HCGO,G,2241
1,HCGO,GO,25
1,HCGO,H,1827
1,HCGO,HC,551
1,HCGO,HCG,2022
1,HCGO,HCGO,10108
1,HCGO,HCO,34
1,HCGO,HG,86
1,HCGO,HGO,26
1,HCGO,HO,11
1,HCGO,O,4309
1,HCO,C,4
1,HCO,G,7
1,HCO,H,5
1,HCO,HC,1
1,HCO,HCG,3
1,HCO,HCGO,33
1,HCO,HCO,1
1,HCO,O,10
1,HG,C,27
1,HG,G,18
1,HG,GO,1
1,HG,H,11
1,HG,HCG,14
1,HG,HCGO,106
1,HG,HCO,1
1,HG,HG,16
1,HG,O,47
1,HGO,C,6
1,HGO,CG,1
1,HGO,G,3
1,HGO,H,2
1,HGO,HC,2
1,HGO,HCG,3
1,HGO,HCGO,25
1,HGO,HG,1
1,HGO,O,11
1,HO,C,1
1,HO,G,3
1,HO,H,5
1,HO,HC,1
1,HO,HCG,2
1,HO,HCGO,13
1,HO,O,6
1,O,C,769
1,O,CG,47
1,O,CGO,11
1,O,CO,3
1,O,G,1026
1,O,GO,11
1,O,H,738
1,O,HC,248
1,O,HCG,892
1,O,HCGO,4284
1,O,HCO,19
1,O,HG,45
1,O,HGO,11
1,O,HO,5
1,O,O,1879
100000,C,C,318
100000,C,CG,23
100000,C,CGO,1
100000,C,CO,1
100000,C,G,436
100000,C,GO,4
100000,C,H,294
100000,C,HC,89
100000,C,HCG,341
100000,C,HCGO,1714
100000,C,HCO,9
100000,C,HG,22
100000,C,HGO,2
100000,C,O,785
100000,CG,C,21
100000,CG,CG,3
100000,CG,G,15
100000,CG,GO,1
100000,CG,H,20
100000,CG,HC,3
100000,CG,HCG,20
100000,CG,HCGO,94
100000,CG,HG,2
100000,CG,O,47
100000,CGO,C,4
100000,CGO,G,3
100000,CGO,H,2
100000,CGO,HC,3
100000,CGO,HCG,3
100000,CGO,HCGO,17
100000,CGO,O,9
100000,CO,C,3
100000,CO,G,1
100000,CO,HC,1
100000,CO,HCG,3
100000,CO,HCGO,12
100000,CO,O,5
100000,G,C,387
100000,G,CG,22
100000,G,CGO,5
100000,G,CO,3
100000,G,G,481
100000,G,GO,9
100000,G,H,369
100000,G,HC,109
100000,G,HCG,413
100000,G,HCGO,2158
100000,G,HCO,7
100000,G,HG,37
100000,G,HGO,6
100000,G,HO,4
100000,G,O,929
100000,GO,C,7
100000,GO,G,6
100000,GO,H,5
100000,GO,HCG,10
100000,GO,HCGO,30
100000,GO,O,10
100000,H,C,314
100000,H,CG,24
100000,H,CGO,2
100000,H,CO,1
100000,H,G,359
100000,H,GO,5
100000,H,H,323
100000,H,HC,89
100000,H,HCG,342
100000,H,HCGO,1726
100000,H,HCO,6
100000,H,HG,16
100000,H,HGO,2
100000,H,HO,1
100000,H,O,742
100000,HC,C,111
100000,HC,CG,10
100000,HC,CGO,1
100000,HC,G,115
100000,HC,H,101
100000,HC,HC,30
100000,HC,HCG,95
100000,HC,HCGO,554
100000,HC,HCO,1
100000,HC,HG,7
100000,HC,HGO,1
100000,HC,HO,1
100000,HC,O,250
100000,HCG,C,357
100000,HCG,CG,24
100000,HCG,CGO,3
100000,HCG,CO,3
100000,HCG,G,451
