distance,from,to,n
1,C,C,388
1,C,CG,20
1,C,CGO,5
1,C,CO,4
1,C,G,388
1,C,GO,1
1,C,H,360
1,C,HC,61
1,C,HCG,364
1,C,HCGO,1818
1,C,HCO,4
1,C,HG,39
1,C,HGO,3
1,C,HO,2
1,C,O,783
1,CG,C,35
1,CG,CG,8
1,CG,G,20
1,CG,H,37
1,CG,HCG,19
1,CG,HCGO,112
1,CG,O,54
1,CGO,C,6
1,CGO,CGO,1
1,CGO,G,6
1,CGO,H,4
1,CGO,HC,3
1,CGO,HCG,4
1,CGO,HCGO,22
1,CGO,O,10
1,CO,G,1
1,CO,H,6
1,CO,HCG,4
1,CO,HCGO,6
1,CO,HG,1
1,CO,O,6
1,G,C,424
1,G,CG,29
1,G,CGO,8
1,G,CO,5
1,G,G,477
1,G,GO,6
1,G,H,381
1,G,HC,153
1,G,HCG,444
1,G,HCGO,2204
1,G,HCO,7
1,G,HG,24
1,G,HGO,11
1,G,HO,2
1,G,O,997
1,GO,C,3
1,GO,G,7
1,GO,GO,1
1,GO,H,2
1,GO,HC,4
1,GO,HCG,7
1,GO,HCGO,19
1,GO,HG,1
1,GO,O,6
1,H,C,385
1,H,CG,24
1,H,CGO,5
1,H,CO,2
1,H,G,375
1,H,GO,6
1,H,H,349
1,H,HC,69
1,H,HCG,356
1,H,HCGO,1856
1,H,HCO,6
1,H,HG,19
1,H,HGO,9
1,H,HO,1
1,H,O,787
1,HC,C,71
1,HC,G,132
1,HC,GO,2
1,HC,H,74
1,HC,HC,57
1,HC,HCG,71
1,HC,HCGO,462
1,HC,HCO,5
1,HC,HGO,1
1,HC,O,203
1,HCG,C,354
1,HCG,CG,20
1,HCG,CGO,6
1,HCG,CO,2
1,HCG,G,397
1,HCG,GO,2
1,HCG,H,366
1,HCG,HC,89
1,HCG,HCG,465
1,HCG,HCGO,1973
1,HCG,HCO,8
1,HCG,HG,22
1,HCG,HGO,2
1,HCG,HO,2
1,HCG,O,898
1,HCGO,C,1792
1,HCGO,CG,126
1,HCGO,CGO,21
1,HCGO,CO,9
1,HCGO,G,2250
1,HCGO,GO,18
1,HCGO,H,1836
1,HCGO,HC,454
1,HCGO,HCG,2034
1,HCGO,HCGO,10319
1,HCGO,HCO,34
1,HCGO,HG,125
1,HCGO,HGO,27
1,HCGO,HO,11
1,HCGO,O,4339
1,HCO,C,2
1,HCO,G,9
1,HCO,H,6
1,HCO,HC,3
1,HCO,HCG,8
1,HCO,HCGO,29
1,HCO,O,11
1,HG,C,35
1,HG,CGO,1
1,HG,CO,1
1,HG,G,20
1,HG,H,26
1,HG,HC,2
1,HG,HCG,12
1,HG,HCGO,133
1,HG,HG,15
1,HG,HGO,1
1,HG,O,44
1,HGO,C,6
1,HGO,G,5
1,HGO,H,7
1,HGO,HCG,8
1,HGO,HCGO,21
1,HGO,O,18
1,HO,C,1
1,HO,G,3
1,HO,H,2
1,HO,HC,2
1,HO,HCG,4
1,HO,HCGO,11
1,HO,HCO,1
1,HO,O,8
1,O,C,832
1,O,CG,52
1,O,CGO,8
1,O,CO,4
1,O,G,968
1,O,GO,11
1,O,H,852
1,O,HC,218
1,O,HCG,951
1,O,HCGO,4299
1,O,HCO,6
1,O,HG,60
1,O,HGO,6
1,O,HO,3
1,O,O,2002
100000,C,C,363
100000,C,CG,19
100000,C,CGO,1
100000,C,CO,4
100000,C,G,408
100000,C,H,356
100000,C,HC,85
100000,C,HCG,352
100000,C,HCGO,1798
100000,C,HCO,9
100000,C,HG,19
100000,C,HGO,3
100000,C,HO,2
100000,C,O,738
100000,CG,C,19
100000,CG,CG,1
100000,CG,G,24
100000,CG,H,29
100000,CG,HC,10
100000,CG,HCG,17
100000,CG,HCGO,122
100000,CG,HCO,1
100000,CG,HG,4
100000,CG,HO,1
100000,CG,O,34
100000,CGO,C,6
100000,CGO,G,10
100000,CGO,H,5
100000,CGO,HC,2
100000,CGO,HCG,2
100000,CGO,HCGO,20
100000,CGO,O,9
100000,CO,C,2
100000,CO,G,4
100000,CO,H,2
100000,CO,HCG,2
100000,CO,HCGO,9
100000,CO,HGO,1
100000,CO,O,9
100000,G,C,421
100000,G,CG,27
100000,G,CGO,5
100000,G,CO,3
100000,G,G,476
100000,G,GO,3
100000,G,H,455
100000,G,HC,113
100000,G,HCG,436
100000,G,HCGO,2124
100000,G,HCO,10
100000,G,HG,28
100000,G,HGO,12
100000,G,HO,3
100000,G,O,953
100000,GO,C,5
100000,GO,G,5
100000,GO,H,6
100000,GO,HC,2
100000,GO,HCG,3
100000,GO,HCGO,24
100000,GO,HG,1
100000,GO,O,8
100000,H,C,333
100000,H,CG,23
100000,H,CGO,4
100000,H,CO,2
100000,H,G,413
100000,H,GO,6
100000,H,H,306
100000,H,HC,94
100000,H,HCG,365
100000,H,HCGO,1775
100000,H,HCO,2
100000,H,HG,12
100000,H,HGO,5
100000,H,HO,3
100000,H,O,814
100000,HC,C,93
100000,HC,CG,7
100000,HC,CGO,1
100000,HC,CO,1
100000,HC,G,103
100000,HC,GO,1
100000,HC,H,81
100000,HC,HC,12
100000,HC,HCG,93
100000,HC,HCGO,461
100000,HC,HCO,1
100000,HC,HG,5
100000,HC,HGO,2
100000,HC,HO,2
100000,HC,O,218
100000,HCG,C,377
100000,HCG,CG,18
100000,HCG,CGO,3
100000,HCG,CO,2
100000,HCG,G,446
100000,HCG,GO,5
100000,HCG,H,376
100000,HCG,HC,97
100000,HCG,HCG,378
100000,HCG,HCGO,1957
100000,HCG,HCO,6
100000,HCG,HG,23
100000,HCG,HGO,6
100000,HCG,HO,2
100000,HCG,O,837
100000,HCGO,C,1809
100000,HCGO,CG,101
100000,HCGO,CGO,22
100000,HCGO,CO,18
100000,HCGO,G,2097
100000,HCGO,GO,17
100000,HCGO,H,1798
100000,HCGO,HC,469
100000,HCGO,HCG,1981
100000,HCGO,HCGO,9789
100000,HCGO,HCO,29
100000,HCGO,HG,118
100000,HCGO,HGO,20
100000,HCGO,HO,9
100000,HCGO,O,4245
100000,HCO,C,5
100000,HCO,G,16
100000,HCO,H,5
100000,HCO,HCG,5
100000,HCO,HCGO,38
100000,HCO,O,13
100000,HG,C,19
100000,HG,CG,2
100000,HG,G,29
100000,HG,GO,1
100000,HG,H,15
100000,HG,HC,3
100000,HG,HCG,21
100000,HG,HCGO,117
100000,HG,HCO,1
100000,HG,HG,1
100000,HG,HGO,1
100000,HG,O,63
100000,HGO,C,5
100000,HGO,G,9
100000,HGO,H,2
100000,HGO,HCG,3
100000,HGO,HCGO,24
100000,HGO,HG,1
100000,HGO,O,9
