distance,from,to,n
1,C,C,376
1,C,CG,27
1,C,CGO,3
1,C,CO,2
1,C,G,424
1,C,GO,4
1,C,H,387
1,C,HC,79
1,C,HCG,361
1,C,HCGO,1895
1,C,HCO,4
1,C,HG,34
1,C,HGO,6
1,C,HO,1
1,C,O,798
1,CG,C,17
1,CG,CG,11
1,CG,CGO,1
1,CG,G,20
1,CG,H,37
1,CG,HCG,18
1,CG,HCGO,112
1,CG,HG,1
1,CG,HO,1
1,CG,O,44
1,CGO,C,7
1,CGO,CG,1
1,CGO,G,5
1,CGO,H,3
1,CGO,HC,1
1,CGO,HCG,9
1,CGO,HCGO,26
1,CGO,O,12
1,CO,C,2
1,CO,G,3
1,CO,H,3
1,CO,HCGO,7
1,CO,HCO,1
1,CO,HG,2
1,CO,O,11
1,G,C,380
1,G,CG,24
1,G,CGO,10
1,G,CO,2
1,G,G,492
1,G,GO,8
1,G,H,412
1,G,HC,117
1,G,HCG,418
1,G,HCGO,2151
1,G,HCO,8
1,G,HG,28
1,G,HGO,6
1,G,HO,3
1,G,O,987
1,GO,C,4
1,GO,CG,1
1,GO,G,4
1,GO,GO,2
1,GO,H,4
1,GO,HC,2
1,GO,HCG,4
1,GO,HCGO,19
1,GO,O,9
1,H,C,338
1,H,CG,25
1,H,CGO,8
1,H,CO,2
1,H,G,409
1,H,GO,3
1,H,H,376
1,H,HC,70
1,H,HCG,373
1,H,HCGO,1878
1,H,HCO,10
1,H,HG,28
1,H,HGO,3
1,H,O,825
1,HC,C,69
1,HC,G,120
1,HC,GO,2
1,HC,H,64
1,HC,HC,72
1,HC,HCG,52
1,HC,HCGO,445
1,HC,HCO,3
1,HC,O,205
1,HCG,C,347
1,HCG,CG,23
1,HCG,CGO,8
1,HCG,CO,1
1,HCG,G,423
1,HCG,GO,3
1,HCG,H,374
1,HCG,HC,87
1,HCG,HCG,483
1,HCG,HCGO,2009
1,HCG,HCO,8
1,HCG,HG,14
1,HCG,HGO,4
1,HCG,HO,1
1,HCG,O,885
1,HCGO,C,1837
1,HCGO,CG,108
1,HCGO,CGO,24
1,HCGO,CO,9
1,HCGO,G,2176
1,HCGO,GO,21
1,HCGO,H,1850
1,HCGO,HC,443
1,HCGO,HCG,2069
