distance,from,to,n
1,C,C,308
1,C,CG,19
1,C,CGO,1
1,C,CO,5
1,C,G,381
1,C,GO,4
1,C,H,333
1,C,HC,100
1,C,HCG,335
1,C,HCGO,1713
1,C,HCO,5
1,C,HG,29
1,C,HGO,8
1,C,O,705
1,CG,C,18
1,CG,CG,6
1,CG,G,13
1,CG,H,20
1,CG,HCG,9
1,CG,HCGO,88
1,CG,O,44
1,CGO,C,2
1,CGO,G,6
1,CGO,H,5
1,CGO,HC,3
1,CGO,HCG,3
1,CGO,HCGO,22
1,CGO,HGO,1
1,CGO,O,7
1,CO,C,2
1,CO,G,2
1,CO,H,2
1,CO,HC,1
1,CO,HCG,3
1,CO,HCGO,10
1,CO,O,5
1,G,C,381
1,G,CG,13
1,G,CGO,4
1,G,G,521
1,G,GO,3
1,G,H,332
1,G,HC,153
1,G,HCG,435
1,G,HCGO,2195
1,G,HCO,11
1,G,HG,21
1,G,HGO,2
1,G,HO,1
1,G,O,1017
1,GO,C,6
1,GO,CG,1
1,GO,G,6
1,GO,GO,1
1,GO,H,4
1,GO,HC,3
1,GO,HCG,5
1,GO,HCGO,19
1,GO,O,6
1,H,C,321
1,H,CG,20
1,H,CGO,1
1,H,CO,2
1,H,G,399
1,H,GO,2
1,H,H,311
1,H,HC,103
1,H,HCG,335
1,H,HCGO,1637
1,H,HCO,6
1,H,HG,14
1,H,HGO,8
1,H,HO,4
1,H,O,779
1,HC,C,93
1,HC,CGO,1
1,HC,G,178
1,HC,GO,4
1,HC,H,88
1,HC,HC,74
1,HC,HCG,113
1,HC,HCGO,583
1,HC,HCO,1
1,HC,O,268
1,HCG,C,307
1,HCG,CG,10
1,HCG,CGO,2
1,HCG,CO,1
1,HCG,G,472
1,HCG,GO,1
1,HCG,H,321
1,HCG,HC,95
1,HCG,HCG,488
1,HCG,HCGO,2002
1,HCG,HCO,5
1,HCG,HG,13
1,HCG,HGO,4
1,HCG,HO,2
1,HCG,O,940
1,HCGO,C,1697
1,HCGO,CG,88
1,HCGO,CGO,20
1,HCGO,CO,13
1,HCGO,G,2099
1,HCGO,GO,21
1,HCGO,H,1740
1,HCGO,HC,637
1,HCGO,HCG,1964
1,HCGO,HCGO,10066
1,HCGO,HCO,27
1,HCGO,HG,78
1,HCGO,HGO,21
1,HCGO,HO,19
1,HCGO,O,4441
1,HCO,C,2
1,HCO,CG,1
1,HCO,G,9
1,HCO,H,6
1,HCO,HC,3
1,HCO,HCG,9
1,HCO,HCGO,24
1,HCO,HCO,1
1,HCO,HG,1
1,HCO,O,14
1,HG,C,19
1,HG,CO,1
1,HG,G,13
1,HG,H,11
1,HG,HC,1
1,HG,HCG,14
1,HG,HCGO,85
1,HG,HG,10
1,HG,HGO,1
1,HG,O,47
1,HGO,C,2
1,HGO,G,4
1,HGO,H,4
1,HGO,HC,1
1,HGO,HCG,10
1,HGO,HCGO,20
1,HGO,O,4
1,HO,CG,1
1,HO,G,1
1,HO,H,2
1,HO,HCG,1
1,HO,HCGO,11
1,HO,O,5
1,O,C,761
1,O,CG,31
1,O,CGO,9
1,O,CO,8
1,O,G,930
1,O,GO,10
1,O,H,770
1,O,HC,265
1,O,HCG,961
1,O,HCGO,4413
1,O,HCO,20
1,O,HG,36
1,O,HGO,16
1,O,HO,2
1,O,O,1994
100000,C,C,280
100000,C,CG,10
100000,C,CGO,2
100000,C,CO,4
100000,C,G,377
100000,C,GO,5
100000,C,H,266
100000,C,HC,87
100000,C,HCG,351
100000,C,HCGO,1637
100000,C,HCO,3
100000,C,HG,13
100000,C,HGO,4
100000,C,HO,3
100000,C,O,746
100000,CG,C,10
100000,CG,CG,2
100000,CG,G,26
100000,CG,H,19
100000,CG,HC,5
100000,CG,HCG,15
100000,CG,HCGO,69
100000,CG,O,37
100000,CGO,C,1
100000,CGO,G,6
100000,CGO,H,4
100000,CGO,HC,1
100000,CGO,HCG,2
100000,CGO,HCGO,17
100000,CGO,O,4
100000,CO,C,2
100000,CO,G,4
100000,CO,H,4
100000,CO,HCGO,8
100000,CO,O,8
100000,G,C,380
100000,G,CG,17
100000,G,CGO,5
100000,G,CO,2
100000,G,G,507
