distance,from,to,n
1,C,C,345
1,C,CG,19
1,C,CGO,7
1,C,G,370
1,C,GO,3
1,C,H,267
1,C,HC,86
1,C,HCG,365
1,C,HCGO,1739
1,C,HCO,4
1,C,HG,25
1,C,HGO,6
1,C,HO,2
1,C,O,783
1,CG,C,17
1,CG,CG,11
1,CG,CGO,1
1,CG,G,19
1,CG,H,32
1,CG,HCG,6
1,CG,HCGO,104
1,CG,HGO,1
1,CG,HO,2
1,CG,O,37
1,CGO,C,3
1,CGO,CO,1
1,CGO,G,7
1,CGO,H,8
1,CGO,HC,2
1,CGO,HCG,4
1,CGO,HCGO,14
1,CGO,HG,1
1,CGO,O,10
1,CO,C,2
1,CO,CO,1
1,CO,G,1
1,CO,H,2
1,CO,HCG,1
1,CO,HCGO,10
1,CO,O,2
1,G,C,374
1,G,CG,15
1,G,CGO,6
1,G,CO,1
1,G,G,544
1,G,GO,8
1,G,H,362
1,G,HC,153
1,G,HCG,453
1,G,HCGO,2149
1,G,HCO,8
1,G,HG,22
1,G,HGO,7
1,G,HO,4
1,G,O,970
1,GO,C,3
1,GO,G,8
1,GO,H,5
1,GO,HC,6
1,GO,HCG,3
1,GO,HCGO,30
1,GO,O,9
1,H,C,330
1,H,CG,25
1,H,CGO,3
1,H,CO,2
1,H,G,373
1,H,GO,3
1,H,H,343
1,H,HC,90
1,H,HCG,349
1,H,HCGO,1678
1,H,HCO,5
1,H,HG,19
1,H,HGO,5
1,H,HO,6
1,H,O,781
1,HC,C,82
1,HC,CGO,1
1,HC,G,153
1,HC,GO,4
1,HC,H,103
1,HC,HC,77
1,HC,HCG,104
1,HC,HCGO,634
1,HC,HCO,4
1,HC,HG,1
1,HC,HGO,1
1,HC,O,281
1,HCG,C,345
1,HCG,CG,9
1,HCG,CGO,6
1,HCG,G,471
1,HCG,GO,2
1,HCG,H,348
1,HCG,HC,88
1,HCG,HCG,473
1,HCG,HCGO,2005
1,HCG,HCO,1
1,HCG,HG,13
1,HCG,HGO,3
1,HCG,HO,3
1,HCG,O,883
1,HCGO,C,1704
1,HCGO,CG,85
1,HCGO,CGO,20
1,HCGO,CO,10
1,HCGO,G,2174
1,HCGO,GO,23
1,HCGO,H,1703
1,HCGO,HC,562
1,HCGO,HCG,2029
1,HCGO,HCGO,10024
1,HCGO,HCO,32
1,HCGO,HG,73
1,HCGO,HGO,21
1,HCGO,HO,8
1,HCGO,O,4442
1,HCO,C,9
1,HCO,CG,1
1,HCO,G,8
1,HCO,H,3
1,HCO,HC,2
1,HCO,HCG,4
1,HCO,HCGO,37
1,HCO,HCO,1
1,HCO,O,12
1,HG,C,25
1,HG,G,19
1,HG,H,16
1,HG,HCG,10
1,HG,HCGO,96
1,HG,HG,10
1,HG,HGO,1
1,HG,HO,1
1,HG,O,40
1,HGO,C,2
1,HGO,G,2
1,HGO,H,4
1,HGO,HC,1
1,HGO,HCG,5
1,HGO,HCGO,21
1,HGO,HG,1
1,HGO,O,8
1,HO,C,1
1,HO,G,3
1,HO,H,7
1,HO,HC,1
1,HO,HCG,5
1,HO,HCGO,9
1,HO,HG,1
1,HO,O,4
1,O,C,739
1,O,CG,30
1,O,CGO,6
1,O,CO,6
1,O,G,972
1,O,GO,9
1,O,H,769
1,O,HC,271
1,O,HCG,897
1,O,HCGO,4387
1,O,HCO,16
1,O,HG,50
1,O,HGO,6
1,O,HO,4
1,O,O,2061
100000,C,C,303
100000,C,CG,18
100000,C,CGO,7
100000,C,CO,1
100000,C,G,364
100000,C,GO,4
100000,C,H,312
100000,C,HC,89
100000,C,HCG,354
100000,C,HCGO,1666
100000,C,HCO,8
100000,C,HG,10
100000,C,HO,3
100000,C,O,760
100000,CG,C,17
100000,CG,CO,1
100000,CG,G,25
100000,CG,GO,1
100000,CG,H,19
100000,CG,HC,4
100000,CG,HCG,22
100000,CG,HCGO,84
100000,CG,HCO,1
