distance,from,to,n
1,C,C,353
1,C,CG,21
1,C,CGO,6
1,C,CO,5
1,C,G,387
1,C,GO,4
1,C,H,307
1,C,HC,87
1,C,HCG,354
1,C,HCGO,1694
1,C,HCO,5
1,C,HG,20
1,C,HGO,5
1,C,HO,2
1,C,O,734
1,CG,C,19
1,CG,CG,7
1,CG,CGO,2
1,CG,G,24
1,CG,H,31
1,CG,HCG,26
1,CG,HCGO,87
1,CG,O,39
1,CGO,C,5
1,CGO,CG,2
1,CGO,G,4
1,CGO,H,5
1,CGO,HCG,6
1,CGO,HCGO,24
1,CGO,O,2
1,CO,C,2
1,CO,CO,1
1,CO,G,1
1,CO,H,1
1,CO,HCGO,8
1,CO,HG,4
1,CO,O,7
1,G,C,376
1,G,CG,14
1,G,CGO,5
1,G,CO,7
1,G,G,549
1,G,GO,6
1,G,H,406
1,G,HC,173
1,G,HCG,430
1,G,HCGO,2195
1,G,HCO,13
1,G,HG,16
1,G,HGO,5
1,G,HO,4
1,G,O,955
1,GO,C,8
1,GO,G,7
1,GO,H,1
1,GO,HC,1
1,GO,HCG,2
1,GO,HCGO,32
1,GO,O,8
1,H,C,296
1,H,CG,24
1,H,CGO,6
1,H,CO,3
1,H,G,394
1,H,GO,2
1,H,H,311
1,H,HC,54
1,H,HCG,328
1,H,HCGO,1735
1,H,HCO,6
1,H,HG,7
1,H,HGO,3
1,H,HO,3
1,H,O,724
1,HC,C,94
1,HC,G,147
1,HC,GO,4
1,HC,H,78
1,HC,HC,66
1,HC,HCG,107
1,HC,HCGO,580
1,HC,HCO,3
1,HC,HGO,4
1,HC,O,264
1,HCG,C,354
1,HCG,CG,18
1,HCG,CGO,1
1,HCG,G,422
1,HCG,GO,2
1,HCG,H,322
1,HCG,HC,93
1,HCG,HCG,482
1,HCG,HCGO,2049
1,HCG,HCO,6
1,HCG,HG,8
1,HCG,HGO,2
1,HCG,O,966
1,HCGO,C,1706
1,HCGO,CG,92
1,HCGO,CGO,23
1,HCGO,CO,12
1,HCGO,G,2192
1,HCGO,GO,23
1,HCGO,H,1694
1,HCGO,HC,599
1,HCGO,HCG,2011
1,HCGO,HCGO,10385
1,HCGO,HCO,20
1,HCGO,HG,68
1,HCGO,HGO,22
1,HCGO,HO,13
1,HCGO,O,4406
1,HCO,C,7
1,HCO,G,9
1,HCO,H,8
1,HCO,HC,5
1,HCO,HCG,3
1,HCO,HCGO,35
1,HCO,HG,1
1,HCO,O,9
1,HG,C,33
1,HG,CGO,1
1,HG,CO,1
1,HG,G,11
1,HG,H,15
1,HG,HCG,11
1,HG,HCGO,100
1,HG,HG,6
1,HG,O,45
1,HGO,C,2
1,HGO,G,5
1,HGO,H,3
1,HGO,HC,1
1,HGO,HCG,1
1,HGO,HCGO,22
1,HGO,O,15
1,HO,C,6
1,HO,H,4
1,HO,HCGO,10
1,HO,O,3
1,O,C,718
1,O,CG,30
1,O,CGO,10
1,O,CO,7
1,O,G,951
1,O,GO,8
1,O,H,726
1,O,HC,260
1,O,HCG,955
1,O,HCGO,4374
1,O,HCO,11
1,O,HG,54
1,O,HGO,8
1,O,HO,5
1,O,O,1975
100000,C,C,285
100000,C,CG,16
100000,C,CGO,4
100000,C,CO,1
100000,C,G,382
100000,C,GO,3
100000,C,H,267
100000,C,HC,113
100000,C,HCG,374
100000,C,HCGO,1687
100000,C,HCO,3
100000,C,HG,17
100000,C,HGO,6
100000,C,HO,4
100000,C,O,747
100000,CG,C,15
100000,CG,G,13
100000,CG,H,18
100000,CG,HC,4
100000,CG,HCG,16
100000,CG,HCGO,95
100000,CG,HGO,1
100000,CG,O,26
100000,CGO,C,4
100000,CGO,G,2
100000,CGO,H,6
100000,CGO,HC,2
100000,CGO,HCG,2
100000,CGO,HCGO,22
100000,CGO,O,12
100000,CO,C,3
100000,CO,G,3
100000,CO,H,2
100000,CO,HC,4
100000,CO,HCG,2
100000,CO,HCGO,4
100000,CO,HCO,1
100000,CO,O,6
100000,G,C,389
100000,G,CG,15
100000,G,CGO,4
100000,G,CO,2
100000,G,G,481
100000,G,GO,1
100000,G,H,362
100000,G,HC,124
100000,G,HCG,430
100000,G,HCGO,2203
100000,G,HCO,9
100000,G,HG,15
100000,G,HGO,11
100000,G,HO,3
100000,G,O,969
100000,GO,C,1
100000,GO,G,8
100000,GO,GO,1
100000,GO,H,3
100000,GO,HC,1
100000,GO,HCG,7
100000,GO,HCGO,15
100000,GO,O,9
100000,H,C,285
100000,H,CG,11
100000,H,CGO,4
100000,H,G,383
100000,H,GO,5
100000,H,H,290
100000,H,HC,95
100000,H,HCG,368
100000,H,HCGO,1756
100000,H,HCO,9
100000,H,HG,17
100000,H,HGO,4
100000,H,HO,2
100000,H,O,705
100000,HC,C,115
100000,HC,CG,6
100000,HC,CO,2
100000,HC,G,128
100000,HC,GO,1
100000,HC,H,107
100000,HC,HC,41
100000,HC,HCG,111
100000,HC,HCGO,588
100000,HC,HCO,2
100000,HC,HG,6
100000,HC,HGO,1
100000,HC,O,252
100000,HCG,C,387
100000,HCG,CG,22
100000,HCG,CGO,6
100000,HCG,CO,2
100000,HCG,G,470
100000,HCG,GO,3
100000,HCG,H,326
100000,HCG,HC,115
100000,HCG,HCG,401
100000,HCG,HCGO,2025
100000,HCG,HCO,7
100000,HCG,HG,23
100000,HCG,HGO,5
100000,HCG,O,876
100000,HCGO,C,1745
100000,HCGO,CG,75
100000,HCGO,CGO,17
100000,HCGO,CO,13
100000,HCGO,G,2235
100000,HCGO,GO,25
100000,HCGO,H,1669
100000,HCGO,HC,640
100000,HCGO,HCG,2118
100000,HCGO,HCGO,9928
100000,HCGO,HCO,34
100000,HCGO,HG,80
100000,HCGO,HGO,15
100000,HCGO,HO,7
100000,HCGO,O,4230
100000,HCO,C,7
100000,HCO,G,7
100000,HCO,H,7
100000,HCO,HCG,7
100000,HCO,HCGO,25
100000,HCO,HG,1
100000,HCO,O,17
100000,HG,C,11
100000,HG,CG,1
100000,HG,CGO,1
100000,HG,G,21
100000,HG,H,20
100000,HG,HC,4
100000,HG,HCG,20
100000,HG,HCGO,77
100000,HG,HG,1
100000,HG,O,34
100000,HGO,C,1
100000,HGO,CG,1
100000,HGO,CGO,1
100000,HGO,G,5
100000,HGO,H,1
100000,HGO,HC,1
100000,HGO,HCG,3
100000,HGO,HCGO,25
100000,HGO,O,6
100000,HO,C,4
100000,HO,G,3
100000,HO,H,1
100000,HO,HCG,3
100000,HO,HCGO,13
100000,HO,O,4
100000,O,C,766
100000,O,CG,32
100000,O,CGO,7
100000,O,CO,6
100000,O,G,968
100000,O,GO,12
100000,O,H,765
100000,O,HC,247
100000,O,HCG,900
100000,O,HCGO,4322
100000,O,HCO,9
100000,O,HG,32
100000,O,HGO,11
100000,O,HO,5
100000,O,O,1910
11,C,C,316
11,C,CG,16
11,C,CGO,1
11,C,CO,3
11,C,G,336
11,C,GO,4
11,C,H,297
11,C,HC,108
11,C,HCG,337
11,C,HCGO,1703
11,C,HCO,8
11,C,HG,26
11,C,HGO,4
11,C,O,720
11,CG,C,19
11,CG,CG,12
11,CG,CGO,2
11,CG,G,14
11,CG,H,29
11,CG,HCG,15
11,CG,HCGO,74
11,CG,HCO,1
11,CG,HGO,2
11,CG,O,42
11,CGO,C,5
11,CGO,CG,1
11,CGO,G,4
11,CGO,H,3
11,CGO,HC,2
11,CGO,HCG,6
11,CGO,HCGO,19
11,CGO,HG,1
11,CGO,O,6
11,CO,C,1
11,CO,G,5
11,CO,H,3
11,CO,HCGO,10
11,CO,O,4
11,G,C,379
11,G,CG,13
11,G,CGO,7
11,G,CO,3
11,G,G,551
11,G,GO,6
11,G,H,384
11,G,HC,150
11,G,HCG,402
11,G,HCGO,2270
11,G,HCO,11
11,G,HG,18
11,G,HGO,13
11,G,HO,4
11,G,O,963
11,GO,C,2
11,GO,G,2
11,GO,H,4
11,GO,HC,5
11,GO,HCG,2
11,GO,HCGO,20
11,GO,HCO,1
11,GO,HG,1
11,GO,O,5
11,H,C,300
11,H,CG,26
11,H,CGO,3
11,H,CO,2
11,H,G,402
11,H,GO,4
11,H,H,324
11,H,HC,85
11,H,HCG,333
11,H,HCGO,1680
11,H,HCO,7
11,H,HG,24
11,H,HGO,2
11,H,HO,4
11,H,O,754
11,HC,C,82
11,HC,CGO,2
11,HC,G,157
11,HC,GO,1
11,HC,H,97
11,HC,HC,81
11,HC,HCG,114
11,HC,HCGO,630
11,HC,HCO,1
11,HC,HG,1
11,HC,O,259
11,HCG,C,368
11,HCG,CG,14
11,HCG,CGO,4
11,HCG,CO,3
11,HCG,G,427
11,HCG,GO,2
11,HCG,H,331
11,HCG,HC,97
11,HCG,HCG,511
